OpCode,Frame,Time first seen (mins),TapeReader,Depth,Family,Genus,Species,Code,Stage
FP_201_ASH040,10009,5.5661,CWS,39.7,Carangidae,Caranx,melampygus,37337050,AD
FP_201_ASH040,8247,4.5863,CWS,39.7,Lethrinidae,Gymnocranius,grandoculis,37351005,AD
FP_201_ASH040,13074,7.2706,CWS,39.7,Lethrinidae,Lethrinus,amboinensis,37351024,AD
FP_201_ASH040,5828,3.241,CWS,39.7,Lethrinidae,Lethrinus,rubrioperculatus,37351012,AD
FP_201_ASH040,37865,21.0572,CWS,39.7,Lutjanidae,Aprion,virescens,37346027,AD
FP_201_ASH047,80587,44.8154,"CWS, BV",6.1,Carangidae,Carangoides,orthogrammus,37337057,AD
FP_201_ASH047,81197,45.1546,"CWS, BV",6.1,Carangidae,Caranx,melampygus,37337050,AD
FP_201_ASH047,9274,5.1574,"CWS, BV",6.1,Carangidae,Scomberoides,lysan,37337046,AD
FP_201_ASH047,92398,51.3836,"CWS, BV",6.1,Dasyatidae,Dasyatis,sp,,AD
FP_201_ASH047,53920,29.9855,"CWS, BV",6.1,Dasyatidae,Pastinachus,sephen,37035011,AD
FP_201_ASH047,67288,37.4196,"CWS, BV",6.1,Sphyraenidae,Sphyraena,barracuda,37382008,AD
FP_201_ASH051,59469,33.0714,"CWS, BV",5,Carangidae,Carangoides,orthogrammus,37337057,AD
FP_201_ASH051,89921,50.0061,"CWS, BV",5,Carangidae,Caranx,ignobilis,37337027,AD
FP_201_ASH051,16101,8.954,"CWS, BV",5,Carangidae,Caranx,melampygus,37337050,AD
FP_201_ASH051,108882,60.5506,"CWS, BV",5,Ginglymostomatidae,Nebrius,ferrugineus,37013010,AD
FP_201_ASH051,117699,65.4538,"CWS, BV",5,Ginglymostomatidae,Nebrius,ferrugineus,37013010,M
FP_201_ASH051,58562,32.567,"CWS, BV",5,Lethrinidae,Lethrinus,olivaceus,37351004,AD
FP_201_ASH051,15879,8.8305,"CWS, BV",5,Lethrinidae,Lethrinus,rubrioperculatus,37351012,AD
FP_201_ASH052,36473,20.2831,"CWS, BV",23,Carangidae,Carangoides,ferdau,37337068,AD
FP_201_ASH052,113439,63.0848,"CWS, BV",23,Carangidae,Carangoides,orthogrammus,37337057,AD
FP_201_ASH052,88047,48.964,"CWS, BV",23,Dasyatidae,Himantura,granulata,37035019,AD
FP_201_ASH052,107879,59.9928,"CWS, BV",23,Dasyatidae,Pastinachus,sephen,37035011,AD
FP_201_ASH052,13247,7.3668,"CWS, BV",23,Lethrinidae,Gymnocranius,grandoculis,37351005,AD
FP_201_ASH052,91777,51.0383,"CWS, BV",23,Lethrinidae,Lethrinus,olivaceus,37351004,AD
FP_201_ASH052,67480,37.5264,"CWS, BV",23,Lutjanidae,Aprion,virescens,37346027,AD
FP_201_ASH055,18083,10.0562,"CWS, BV",25 m,Carangidae,Carangoides,oblongus,37337069,AD
FP_201_ASH055,18238,10.1424,"CWS, BV",25 m,Carangidae,Carangoides,orthogrammus,37337057,AD
FP_201_ASH055,18211,10.1273,"CWS, BV",25 m,Carangidae,Caranx,melampygus,37337050,AD
FP_201_ASH055,11613,6.4581,"CWS, BV",25 m,Lethrinidae,Lethrinus,atkinsoni,37351013,AD
FP_201_ASH055,49084,27.2962,"CWS, BV",25 m,Lethrinidae,Lethrinus,atkinsoni,37351013,J
FP_201_ASH055,111238,61.8607,"CWS, BV",25 m,Lethrinidae,Lethrinus,olivaceus,37351004,AD
FP_201_ASH055,33716,18.7499,"CWS, BV",25 m,Lethrinidae,Lethrinus,rubrioperculatus,37351012,AD
FP_201_ASH055,9319,5.1824,"CWS, BV",25 m,Lethrinidae,Lethrinus,rubrioperculatus,37351012,J
