MaxN

Generated: Friday, January 12, 2018 14:52:36

Filename	Frame	Time (mins)	Period	Period time (mins)	OpCode	TapeReader	Depth	Comment									Family	Genus	Species	Code	MaxN	Has fed
FP_201_ASH041.avi	  24075	  13.3884			FP_201_ASH041	CWS, BV	39.5										Lutjanidae	Lutjanus	bohar	37346029	1	No
FP_201_ASH032.avi	 108945	  60.5856			FP_201_ASH032	CWS, BV	29										Carangidae	Caranx	ignobilis	37337027	1	No
FP_201_ASH032.avi	  61744	  34.3366			FP_201_ASH032	CWS, BV	29										Carangidae	Caranx	melampygus	37337050	4	No
FP_201_ASH032.avi	  58201	  32.3663			FP_201_ASH032	CWS, BV	29										Carcharhinidae	Carcharhinus	amblyrhynchos	37018030	1	No
FP_201_ASH032.avi	  71897	  39.9828			FP_201_ASH032	CWS, BV	29										Dasyatidae	Dasyatis	kuhlii	37035004	1	No
FP_201_ASH032.avi	 115346	  64.1453			FP_201_ASH032	CWS, BV	29										Dasyatidae	Himantura	fai	37035024	1	No
FP_201_ASH032.avi	 103672	  57.6532			FP_201_ASH032	CWS, BV	29										Lethrinidae	Lethrinus	microdon	37351011	3	Yes
FP_201_ASH032.avi	   6152	   3.4212			FP_201_ASH032	CWS, BV	29										Lethrinidae	Lethrinus	ravus	37351031	4	Yes
FP_201_ASH032.avi	  16071	   8.9373			FP_201_ASH032	CWS, BV	29										Lethrinidae	Lethrinus	rubrioperculatus	37351012	5	No
FP_201_ASH032.avi	  97319	  54.1202			FP_201_ASH032	CWS, BV	29										Lethrinidae	Lethrinus	xanthochilus	37351020	1	No
FP_201_ASH032.avi	  63981	  35.5806			FP_201_ASH032	CWS, BV	29										Lutjanidae	Lutjanus	bohar	37346029	1	No
FP_201_ASH032.avi	  93296	  51.8830			FP_201_ASH032	CWS, BV	29										Scombridae	Scomberomorus	commerson	37441007	3	No
FP_201_ASH032.avi	  16153	   8.9829			FP_201_ASH032	CWS, BV	29										Serranidae	Variola	albimarginata	37311026	3	No
FP_201_ASH033.avi	  84081	  46.7584			FP_201_ASH033	CWS	25										Carangidae	Carangoides	ferdau	37337068	2	No
FP_201_ASH033.avi	  30636	  17.0370			FP_201_ASH033	CWS	25										Carangidae	Caranx	ignobilis	37337027	1	No
FP_201_ASH033.avi	  28647	  15.9309			FP_201_ASH033	CWS	25										Carangidae	Caranx	melampygus	37337050	1	No
FP_201_ASH033.avi	  15001	   8.3422			FP_201_ASH033	CWS	25										Carcharhinidae	Carcharhinus	amblyrhynchos	37018030	2	Yes
FP_201_ASH033.avi	  32739	  18.2065			FP_201_ASH033	CWS	25										Echeneidae	Echeneis	naucrates	37336001	1	No
FP_201_ASH033.avi	  22614	  12.5759			FP_201_ASH033	CWS	25										Lethrinidae	Gymnocranius	grandoculis	37351005	1	No
FP_201_ASH033.avi	  51073	  28.4023			FP_201_ASH033	CWS	25										Lethrinidae	Lethrinus	amboinensis	37351024	3	No
FP_201_ASH033.avi	  28564	  15.8848			FP_201_ASH033	CWS	25										Lethrinidae	Lethrinus	olivaceus	37351004	1	No
FP_201_ASH033.avi	  10315	   5.7363			FP_201_ASH033	CWS	25										Lethrinidae	Lethrinus	ravus	37351031	3	Yes
FP_201_ASH033.avi	  18968	  10.5483			FP_201_ASH033	CWS	25										Lethrinidae	Lethrinus	rubrioperculatus	37351012	9	Yes
FP_201_ASH033.avi	  21627	  12.0270			FP_201_ASH033	CWS	25										Lutjanidae	Aprion	virescens	37346027	1	No
FP_201_ASH033.avi	  44018	  24.4789			FP_201_ASH033	CWS	25										Scombridae	Scomberomorus	commerson	37441007	1	No
FP_201_ASH026.avi	  42048	  23.3834			FP_201_ASH026	CWS	25										Carangidae	Carangoides	caeruleopinnatus	37337021	1	No
FP_201_ASH026.avi	  60553	  33.6742			FP_201_ASH026	CWS	25										Carangidae	Carangoides	orthogrammus	37337057	3	No
FP_201_ASH026.avi	  91457	  50.8603			FP_201_ASH026	CWS	25										Carcharhinidae	Carcharhinus	amblyrhynchos	37018030	4	Yes
FP_201_ASH026.avi	  11979	   6.6617			FP_201_ASH026	CWS	25										Dasyatidae	Pastinachus	sephen	37035011	1	No
FP_201_ASH026.avi	  50552	  28.1126			FP_201_ASH026	CWS	25										Echeneidae	Echeneis	naucrates	37336001	2	Yes
FP_201_ASH026.avi	  10488	   5.8325			FP_201_ASH026	CWS	25										Lethrinidae	Gymnocranius	grandoculis	37351005	1	No
FP_201_ASH026.avi	  88160	  49.0268			FP_201_ASH026	CWS	25										Lethrinidae	Lethrinus	amboinensis	37351024	2	No
FP_201_ASH026.avi	  73167	  40.6890			FP_201_ASH026	CWS	25										Lethrinidae	Lethrinus	rubrioperculatus	37351012	10	Yes
FP_201_ASH026.avi	   6944	   3.8616			FP_201_ASH026	CWS	25										Lutjanidae	Aprion	virescens	37346027	2	No
FP_201_ASH026.avi	  53691	  29.8582			FP_201_ASH026	CWS	25										Myliobatidae	Aetobatus	narinari	37039003	1	No
FP_201_ASH026.avi	   8700	   4.8382			FP_201_ASH026	CWS	25										Serranidae	Variola	albimarginata	37311026	1	No
FP_201_ASH027.avi	  22201	  12.3462			FP_201_ASH027	CWS	34										Carangidae	Caranx	ignobilis	37337027	1	No
FP_201_ASH027.avi	  25169	  13.9968			FP_201_ASH027	CWS	34										Carangidae	Caranx	melampygus	37337050	1	No
FP_201_ASH027.avi	  82125	  45.6707			FP_201_ASH027	CWS	34										Carangidae	Scomberoides	lysan	37337046	1	No
FP_201_ASH027.avi	  36175	  20.1173			FP_201_ASH027	CWS	34										Carcharhinidae	Carcharhinus	amblyrhynchos	37018030	3	Yes
FP_201_ASH027.avi	  85393	  47.4880			FP_201_ASH027	CWS	34										Carcharhinidae	Triaenodon	obesus	37018038	1	No
FP_201_ASH027.avi	  39577	  22.0092			FP_201_ASH027	CWS	34										Cheloniidae	Chelonia	mydas	39020002	1	No
FP_201_ASH027.avi	  36681	  20.3987			FP_201_ASH027	CWS	34										Echeneidae	Echeneis	naucrates	37336001	1	No
FP_201_ASH027.avi	  49226	  27.3752			FP_201_ASH027	CWS	34										Lethrinidae	Gymnocranius	grandoculis	37351005	1	No
FP_201_ASH027.avi	  64835	  36.0555			FP_201_ASH027	CWS	34										Lethrinidae	Lethrinus	atkinsoni	37351013	1	No
FP_201_ASH027.avi	  34761	  19.3310			FP_201_ASH027	CWS	34										Lethrinidae	Lethrinus	xanthochilus	37351020	3	No
FP_201_ASH027.avi	  22066	  12.2712			FP_201_ASH027	CWS	34										Lutjanidae	Aprion	virescens	37346027	1	No
FP_201_ASH027.avi	  43699	  24.3015			FP_201_ASH027	CWS	34										Lutjanidae	Lutjanus	bohar	37346029	1	No
FP_201_ASH027.avi	 102913	  57.2311			FP_201_ASH027	CWS	34										Lutjanidae	Lutjanus	decussatus	37346041	2	No
FP_201_ASH027.avi	  68159	  37.9040			FP_201_ASH027	CWS	34										Lutjanidae	Lutjanus	gibbus	37346028	3	No
FP_201_ASH027.avi	  57731	  32.1049			FP_201_ASH027	CWS	34										Scombridae	Gymnosarda	unicolor	37441029	1	No
FP_201_ASH027.avi	   7620	   4.2376			FP_201_ASH027	CWS	34										Scombridae	Scomberomorus	commerson	37441007	1	No
FP_201_ASH027.avi	  56572	  31.4603			FP_201_ASH027	CWS	34										Serranidae		sp		1	No
FP_201_ASH027.avi	  48564	  27.0070			FP_201_ASH027	CWS	34										Serranidae	Variola	albimarginata	37311026	4	No
FP_201_ASH028.avi	  57009	  31.7034			FP_201_ASH028	CWS, BV	37										Carangidae	Carangoides	ferdau	37337068	1	No
FP_201_ASH028.avi	  21660	  12.0454			FP_201_ASH028	CWS, BV	37										Carangidae	Carangoides	orthogrammus	37337057	1	No
FP_201_ASH028.avi	 105491	  58.6648			FP_201_ASH028	CWS, BV	37										Carcharhinidae	Carcharhinus	amblyrhynchos	37018030	2	Yes
FP_201_ASH028.avi	  79037	  43.9534			FP_201_ASH028	CWS, BV	37										Lethrinidae	Gymnocranius	grandoculis	37351005	1	No
FP_201_ASH028.avi	  97786	  54.3799			FP_201_ASH028	CWS, BV	37										Lethrinidae	Lethrinus	amboinensis	37351024	9	No
FP_201_ASH028.avi	 111496	  62.0042			FP_201_ASH028	CWS, BV	37										Lutjanidae	Aprion	virescens	37346027	1	No
FP_201_ASH028.avi	  97041	  53.9656			FP_201_ASH028	CWS, BV	37										Scombridae	Scomberomorus	queenslandicus	37441014	1	No
